Ojibwe SW,Ojibwe E/Odawa,English (approximate)
aaniin,aanii,hello
daga,bna,please!
niin,niinii,me
niin,nii,me
giin,gii,you
enyanh',ehenh ,yes
en' ,enh ,yes
gaawiin,gaa,no
gaawiin,kaa,no
wiindan,waawiindaan,name (vti)
izhinikaazowin,zhnikaazwin,name (n)
minawaanigozi,mnowaan'gozi,is happy (vai)
ganawaabam,gnawaabmaa,"look at, watches (transitive, animate)"
izhinaagozi,zhinaagzi,"look a certain way (transitive, animate)"
izhinaagwad,zhinaagot,"look a certain way (transitive, inanimate)"
ojiim,jiimaa,"kiss (v, animate)"
ojiindan,jiindaan,"kiss (v, inanimate)"
wiiisini,wiisni,eat (vai)
amo,mwaa,eat (vta)
minikwe,mnikwe,drink(vai)
aabitoojiin,aabtoojiinaa,hug around middle (vta)
giziibiiga'an,gziibiignaan,wash something (vti)
opin,pin,potato
manoomin,mnoomin,wild rice
mishiimin,mshiimin,apple (mishiimin)
odaabaan,daabaan,car
makwa,mkwa,bear
makwa,mko,bear
ma'iingan,m'iingan,wolf
nigig,ngig,otter
mooz,moos,moose
waawaashkeshi,waawaashkesh,deer (waawaashikeshi)
giingoo,giigoonh,fish
ogaa,gawaak,walleye / pickerel
adikameg,dikmek,whitefish
mitig,mtik,tree
nagamo,n'gamo,sing (nagamo)
giiwese,giiwse,hunt (giiwese)
baashkigizige,baashkzige,shoot (bashkigizige)
giizhiitaa,giizhtaa,get ready (giizhiitaa)
agindaaso,n'gidaaso,read (agindaaso / gindaasa)
babaamose,bbaamse,walk around
bikwaakwad,bkwaakwat,ball
gimiwan,gmiwan,rain (n)
waabooz,waaboos,rabbit
bakwezhigan,bkwezhgan,bread
waasechigan,waasechgan,window
wewebizo,wewebza,swing (vai)
akwaandawe,kwaandw,climb (vai)
bagizo,bgiza,swim (vai)
